subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S006,mullerlyer,long,30,0.7,q_lower,0.9649750205958273,0.4121476510067106,add_len,dczBDAL_sV
S006,mullerlyer,long,30,0.9,q_lower,1.5734042834835806,0.4121476510067106,add_len,dczBDAL_sV
S006,mullerlyer,long,40,0.1,q_lower,0.41873520596056046,0.24738666666666645,add_len,dczBDAL_sV
S006,mullerlyer,long,40,0.3,q_lower,0.5795853896938575,0.24738666666666645,add_len,dczBDAL_sV
S006,mullerlyer,long,40,0.5,q_lower,0.7690537945272564,0.24738666666666645,add_len,dczBDAL_sV
S006,mullerlyer,long,40,0.7,q_lower,1.0554100747234194,0.24738666666666645,add_len,dczBDAL_sV
S006,mullerlyer,long,40,0.9,q_lower,1.711225482585167,0.24738666666666645,add_len,dczBDAL_sV
S006,mullerlyer,long,50,0.1,q_lower,0.40878268912345317,0.31798639455783273,add_len,dczBDAL_sV
S006,mullerlyer,long,50,0.3,q_lower,0.5608377308393119,0.31798639455783273,add_len,dczBDAL_sV
S006,mullerlyer,long,50,0.5,q_lower,0.7415391240990844,0.31798639455783273,add_len,dczBDAL_sV
S006,mullerlyer,long,50,0.7,q_lower,1.017302700771196,0.31798639455783273,add_len,dczBDAL_sV
S006,mullerlyer,long,50,0.9,q_lower,1.6528969574678265,0.31798639455783273,add_len,dczBDAL_sV
S006,mullerlyer,long,60,0.1,q_lower,0.3891868328941796,0.25953333333333334,add_len,dczBDAL_sV
S006,mullerlyer,long,60,0.3,q_lower,0.5322748068169137,0.25953333333333334,add_len,dczBDAL_sV
S006,mullerlyer,long,60,0.5,q_lower,0.7130623934369498,0.25953333333333334,add_len,dczBDAL_sV
S006,mullerlyer,long,60,0.7,q_lower,0.9936068610746096,0.25953333333333334,add_len,dczBDAL_sV
S006,mullerlyer,long,60,0.9,q_lower,1.6517131042730964,0.25953333333333334,add_len,dczBDAL_sV
S006,mullerlyer,short,30,0.1,q_lower,0.37027888279447696,0.6165945945945938,add_len,dczBDAL_sV
S006,mullerlyer,short,30,0.3,q_lower,0.48374764923239516,0.6165945945945938,add_len,dczBDAL_sV
S006,mullerlyer,short,30,0.5,q_lower,0.6230138353341622,0.6165945945945938,add_len,dczBDAL_sV
S006,mullerlyer,short,30,0.7,q_lower,0.8475802281705342,0.6165945945945938,add_len,dczBDAL_sV
S006,mullerlyer,short,30,0.9,q_lower,1.395509930121362,0.6165945945945938,add_len,dczBDAL_sV
S006,mullerlyer,short,40,0.1,q_lower,0.3549388584336367,0.6013691275167811,add_len,dczBDAL_sV
S006,mullerlyer,short,40,0.3,q_lower,0.46794265395880347,0.6013691275167811,add_len,dczBDAL_sV
S006,mullerlyer,short,40,0.5,q_lower,0.607162753856387,0.6013691275167811,add_len,dczBDAL_sV
S006,mullerlyer,short,40,0.7,q_lower,0.8397029568824138,0.6013691275167811,add_len,dczBDAL_sV
S006,mullerlyer,short,40,0.9,q_lower,1.4025141189611112,0.6013691275167811,add_len,dczBDAL_sV
S006,mullerlyer,short,50,0.1,q_lower,0.3414138950482615,0.608213333333325,add_len,dczBDAL_sV
S006,mullerlyer,short,50,0.3,q_lower,0.4484336477204163,0.608213333333325,add_len,dczBDAL_sV
S006,mullerlyer,short,50,0.5,q_lower,0.581216950367744,0.608213333333325,add_len,dczBDAL_sV
S006,mullerlyer,short,50,0.7,q_lower,0.8012910598978009,0.608213333333325,add_len,dczBDAL_sV
S006,mullerlyer,short,50,0.9,q_lower,1.3594754514444563,0.608213333333325,add_len,dczBDAL_sV
S006,mullerlyer,short,60,0.1,q_lower,0.3750196799933437,0.6018108108108083,add_len,dczBDAL_sV
S006,mullerlyer,short,60,0.3,q_lower,0.4919725319572387,0.6018108108108083,add_len,dczBDAL_sV
S006,mullerlyer,short,60,0.5,q_lower,0.6372626113631403,0.6018108108108083,add_len,dczBDAL_sV
S006,mullerlyer,short,60,0.7,q_lower,0.863713460735301,0.6018108108108083,add_len,dczBDAL_sV
S006,mullerlyer,short,60,0.9,q_lower,1.4129407103853366,0.6018108108108083,add_len,dczBDAL_sV
S007,mullerlyer,long,30,0.1,q_lower,0.5430314655046372,0.43757046979865416,add_len,dczBDAL_sV
S007,mullerlyer,long,30,0.3,q_lower,0.7149053396431213,0.43757046979865416,add_len,dczBDAL_sV
S007,mullerlyer,long,30,0.5,q_lower,0.918793877336068,0.43757046979865416,add_len,dczBDAL_sV
S007,mullerlyer,long,30,0.7,q_lower,1.2402684723952426,0.43757046979865416,add_len,dczBDAL_sV
S007,mullerlyer,long,30,0.9,q_lower,1.9562516894015645,0.43757046979865416,add_len,dczBDAL_sV
S007,mullerlyer,long,40,0.1,q_lower,0.5704502639487989,0.17888000000000015,add_len,dczBDAL_sV
S007,mullerlyer,long,40,0.3,q_lower,0.7649268946935079,0.17888000000000015,add_len,dczBDAL_sV
S007,mullerlyer,long,40,0.5,q_lower,1.0033017624418428,0.17888000000000015,add_len,dczBDAL_sV
S007,mullerlyer,long,40,0.7,q_lower,1.3687412995380088,0.17888000000000015,add_len,dczBDAL_sV
S007,mullerlyer,long,40,0.9,q_lower,2.158549673745044,0.17888000000000015,add_len,dczBDAL_sV
